Event Name,Event Time,Status,External Url
Episode 87: Holiday Special - Unwrapping the future of 2022,"Dec 21, 2021 07:27 AM - Dec 21, 2021 07:57 AM",RELINQUISHED,
Procurement Summit 2022,"Jun 22, 2022 06:30 AM - Jun 23, 2022 08:00 PM",RELINQUISHED,https://procurementsummit.de/anmeldung
Episode 88: Put an end to the roadmapping circus,"Jan 11, 2022 07:27 AM - Jan 11, 2022 07:57 AM",RELINQUISHED,
Building Resilience: The Importance of Self-Leadership and Servant Leadersh,"Jun 10, 2024 01:00 PM - Jun 10, 2024 02:00 PM",RELINQUISHED,
Supply Chain Planning Asia Summit - Watch it live at http://scplan.asia/,"Apr 07, 2022 01:20 AM - Apr 07, 2022 09:15 AM",RELINQUISHED,http://scplan.asia/
Free Webinar (Einkauf): Krisenfeste Beschaffung - 3 innovative Ansätze,"Jan 26, 2023 04:00 PM - Jan 26, 2023 05:00 PM",RELINQUISHED,https://us06web.zoom.us/webinar/register/WN_5aA9BmJoTfiqxFxoCbtr_g
Makers & Movers The Future of Supply Chain Summit ,"Nov 10, 2021 09:00 AM - Nov 10, 2021 03:00 PM",RELINQUISHED,
Free Webinar (Einkauf): People Management - Mitarbeitende finden & halten,"Feb 22, 2023 03:30 PM - Feb 22, 2023 04:30 PM",RELINQUISHED,https://us06web.zoom.us/webinar/register/WN_UY8MisAiT9qwP8R1ZKtHcg
Product Development trifft auf KI - Expertengespräch mit Thomas Immich ,"Jun 19, 2024 03:00 PM - Jun 19, 2024 04:00 PM",RELINQUISHED,meet.google.com/brr-ocjb-qkr
The Power of Personal Branding: Unlock the Key to Career Success,"Aug 03, 2023 06:00 PM - Aug 03, 2023 07:00 PM",APPROVED,
Core Values Unlocked: Your Path to Authentic Living,"Jun 27, 2024 11:30 AM - Jun 27, 2024 12:30 PM",RELINQUISHED,https://us04web.zoom.us/j/77602671623?pwd=hUbJnlnBJHP4LBSanEPcuAFoRQna51.1
AI Breakfast - Building in FinTech,"Mar 06, 2024 08:00 AM - Mar 06, 2024 10:00 AM",APPROVED,
Influencing Peers & Stakeholders: a free seminar for product people,"Jul 09, 2023 04:00 PM - Jul 09, 2023 05:15 PM",APPROVED,https://us06web.zoom.us/j/88407790595
Procurement Summit 2025,"Jun 25, 2025 07:00 AM - Jun 26, 2025 06:00 PM",RELINQUISHED,https://procurementsummit.de/
Episode 72: A strong Product Manager can lift more than weights ,"Sep 07, 2021 06:27 AM - Sep 07, 2021 06:57 AM",APPROVED,
Free webinar: Storytelling - why it works & how to use it in marketing,"Aug 01, 2023 03:00 PM - Aug 01, 2023 03:45 PM",RELINQUISHED,https://us06web.zoom.us/webinar/register/WN_Oa4U2-BbTwGkZ-SA75uYXw
Green Products - Combining Planet & Profit - AGT Expert Talk ,"Nov 12, 2024 05:00 PM - Nov 12, 2024 06:00 PM",RELINQUISHED,
Antler Berlin Demo Day 2021,"Sep 22, 2021 02:00 PM - Sep 22, 2021 04:30 PM",APPROVED,
"LLM Explainability, Mitigating Hallucinations & Ensuring Ethical Practices","Apr 02, 2024 03:30 PM - Apr 02, 2024 07:00 PM",APPROVED,https://www.eventbrite.de/e/llm-explainability-mitigating-hallucinations-ensuring-ethical-practices-tickets-856248691887?aff=oddtdtcreator
