Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Service Innovation,"Service innovation means changing the way you serve your customers to create greater value for them and deliver more revenue for your organization. IMD Professor of Service Management Stefan Michel shows you how to identify service innovations—process innovations, new services, and new service-driven business models—and then embed them into your business.<br><br>

Once you understand service innovation, you can design and implement your own innovations. Each chapter combines real-world case studies with a methodological framework to help you become a better ""idea hunter"" for service innovation. After you identify an innovative model, you can align and execute your innovation by applying the customer star model and by embedding your innovation approach in your overall business strategy.",Course,2021-10-04 08:01 UTC,N/A,false,N/A,
Schlagfertigkeit: Nie wieder sprachlos,"Verbale Attacken und plötzliche Unhöflichkeiten machen viele Menschen sprachlos. Erst nach zwei Stunden fällt uns die perfekte Antwort ein. Doch da ist es längst zu spät. Wladislaw Jachtchenko macht Sie in diesem Videokurs mit den sieben besten Schlagfertigkeitstechniken vertraut. Sie lernen, wie Sie mit diesen Techniken spontan, schnell und treffend reagieren, wenn es nötig ist. Zugleich üben Sie diese Techniken auch gleich in diesem Kurs. Lassen Sie sich überraschen und haben Sie ab jetzt immer eine gute Antwort parat.",Course,2021-04-20 10:15 UTC,N/A,false,N/A,
Excel Supply Chain Analysis: Managing Simulations Using VBA,"<p>Did you know you can record and run Solver macros, generate random inputs, run multiple simulations, and more, in Excel? Moreover, you can do all this without buying expensive specialty software. In this course, instructor Curt Frye shows how to enhance your supply chain analysis using the Solver add-in in combination with VBA. Working from an example transportation problem, Curt steps through creating a reference to the Solver VBA library, recording and running a Solver macro, generating random inputs, and defining a loop structure to run multiple simulations. Then he moves on to enabling detailed analysis by writing model output, creating a results dashboard to analyze your model output, exploring alternative scenarios with a Solver model, and more.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-transportation-professional-certificate?u=104"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2022-02-27 21:02 UTC,N/A,false,N/A,
Career Essentials in Generative AI by Microsoft and LinkedIn,"Generative AI is reshaping industries by transforming how work gets done. This learning path puts you at the forefront of this creative revolution, covering content creation, key models, future trends, ethical considerations, and tools like Microsoft Copilot. Gain essential skills to harness generative AI in your career. Start today so you can lead in this transformative era.",Learning Path,2023-06-29 14:14 UTC,N/A,false,N/A,
Artificial Intelligence and Business Strategy,"Do you understand the impact of AI on a business strategy well enough to take a proactive role in transforming your organization? If you could use some help in this area, instructor Anil Gupta has you covered. In this course, he shows you how deploying AI tools can boost your company’s competitive advantage and help you leapfrog over your competition. Anil explains what AI is and how it is deployed in products and services. He goes over the importance of data for developing AI algorithms, as well as machine learning concepts. Anil covers how AI can be deployed to gather market intelligence, improve product recommendations, and offer more personalized digital services. He describes how to use AI to make the supply chain network more efficient, responsive, and resilient, as well as how AI can speed up and increase the effectiveness of traditional HR tasks. Anil also discusses the ethics of strategic AI initiatives.",Course,2023-04-25 18:35 UTC,N/A,false,N/A,
Building an Ecommerce Website with WordPress,"You may know how to use the basic building blocks in WordPress, but do you know how to create an ecommerce website? In this course, WordPress evangelist Alexandra Nimmons guides you through everything you need to know to build an online store. Go over the pros and cons of WordPress for ecommerce and explore some misconceptions. Examine options for domain and hosting, and find out how to prepare for your WordPress installation. Learn about several options for ecommerce platforms, and go over setting up WooCommerce. Discover how you can set up easy digital downloads. Cover ecommerce WordPress themes, essential pages, and accessibility and SEO issues that you will need to consider and address. Review email marketing tools, analytics tools, and social media tools. Plus, dive into testing and troubleshooting to make sure your site is working as intended.",Course,2024-01-14 20:29 UTC,N/A,false,N/A,
Determining Market Size for Your Product or Service,"To determine the size of your potential market, tighten the focus until you have a clear and specific picture. By applying successive industry and market segment funnels, you can arrive at a target market which is both credible to investors and feasible for you to serve well. This course introduces the market funnel framework, a three-step process for defining your target audience and sizing segments in terms investors can use and you can apply to your financial plan.<br><br>This course was created by EntrepreneurNOW. We are please to offer this training in our library.",Course,2022-02-06 07:40 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:713380,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:713380,Course,2018-08-24 05:27 UTC,N/A,false,N/A,
Stay Lean with Kanban,"In many ways Kanban is counterintuitive. The system relies on basic rules and practices, and these rules can help you start a large-scale organizational change. The kanban board might only appear to be a simple diagram that shows the team's workflow. But it can help build cross-functional self-organized teams, encourage better collaboration, and increase your team's productivity. Kanban is a key way to introduce lean principles in your organization. Lean can help your teams better prioritize their work and continuously improve by removing the waste or ""muda"" from your process. In this course, explore essential lean principles and discover how to use a kanban board to help your team prioritize more effectively. Learn about starting enterprise lean, setting up a board, optimizing your flow, and more.",Course,2021-02-05 15:43 UTC,N/A,false,N/A,
How to Set Goals When Everything Feels Like a Priority,"Sometimes it can feel like you’re working on everyone's else's to-do list instead of your own. How can you make space for accomplishing the goals that are important to you? Join best-selling business author and consultant Dorie Clark as she shares practical advice on how to prioritize effectively so that you can get meaningful things done.<br><br>Dorie shares techniques that you can leverage to get clarity on what to prioritize, as well as how to take action when you find yourself unsure of your next steps. She explores well-known frameworks, including the Eisenhower matrix and the Pareto principle, that can help you become more effective. Along the way, she shares how to find the motivation to get yourself going, maintain your momentum, and make it all the way to your goal.",Course,2022-08-27 08:42 UTC,N/A,false,N/A,
Python: Advanced Design Patterns (2018),"Design patterns encourage clean programming. In this course, take a look at some advanced design patterns as applied to Python. Instructor Jungwoo Ryoo begins by looking at why-or why not-use design patterns in the first place. Jungwoo then steps through some design best practices, going over topics such as quality attributes and domain-specific patterns. He also introduces some practical design patterns described by the Gang of Four, including Command, Interpreter, and Memento. Plus, he helps you grasp how these patterns actually work at the code level by walking through sample scripts.",Course,2018-08-08 13:55 UTC,N/A,false,N/A,
Technical Product Management,"<p>Are you interested in exploring a career as a product manager in a tech organization, but are concerned you may lack the technical background required? If you’re passionate about technology, are always thinking about new product ideas and enjoy solving problems, then the role of a technical product manager might be just right for you! There’s no straightforward path that leads to a career in technical product management and indeed the role needs a fluid skill set that requires you to wear different hats throughout the product development lifecycle—from idea generation, to coming up with creative solutions, to the implementation stage, and final rollout. In this course, Dr. Marily Nika covers what the role of a technical product manager entails and describes some of the key concepts, skills, mindsets, and frameworks that will make you a great fit for this role, with or without a technical background.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/aha-product-management-professional-certificate"" target=""_blank"">Professional Certificate</a> from Aha!.</p>",Course,2022-03-03 07:15 UTC,N/A,false,N/A,
Employer Branding to Attract Talent,"In the war for talent, having a strong brand can help you attract and retain the most talented employees. Candidates want to work for employers with great reputations—who are known for fairness, flexibility, independence, strong leadership, and opportunities for growth. In this course, leadership consultant and coach Roberta Matuson helps employers understand what top talent considers when evaluating organizations as potential employers, and explains how to build an employer brand to attract talent and keep it compelling and relevant. Become the company people dream of working for—build your brand as a top employer.",Course,2021-07-14 09:56 UTC,N/A,false,N/A,
Strategies for Your First 90 Days in a New Job,"OK, you did it. You got the job. You’re ecstatic, and you should be, but then reality sets in. Now you have to show up, prove your value, and make a real impact in your role. And with so much riding on the first ninety days, it’s easy to forget how much control you have to make it really great. Join career coach Madeline Mann and learn how to take ownership of your onboarding experience.<br><br>Explore concrete strategies to make the most of your first ninety days. Get tips on asking the right questions, maximizing your time and effort, and building out a 90-day plan with targets and key goals that define what success means for your new role. Learn about important habits and work behaviors to get you noticed along the way. Focus on developing relationships, identifying your knowledge gaps, and reaching out to your manager for support and guidance. Get the skills you need to ramp up quickly and effectively so you can set yourself up for future opportunities and promotion.",Course,2022-02-26 09:36 UTC,N/A,false,N/A,
Transitioning from Individual Contributor to Manager,"Before you start your first management role, it's important to prepare yourself for a shift in mindset and priorities. In this course, leadership coach, best-selling author, and consultant Roberta Matuson explains how to step into your new management role on the right foot. Roberta shares strategies to help you make the shift from focusing on your own performance as an individual contributor to focusing on the success of your team as a manager. She helps you address common hurdles such as how to manage your former peers, engage and assess your team, and prepare for your evolution as a leader.",Course,2019-12-30 12:22 UTC,N/A,false,N/A,
Killing the Save Button: Making Brave Product Decisions,"Every product you see, hear, feel, or experience is the result of many, many decisions.
These decisions start from the basic “What problem does this solve, and for whom?” to figuring out how to best get your product into customers’ hands, to integrating your product with existing products, and much more. For product managers, all these decisions impact a product’s success or failure. In this course, explore the art of making brave product decisions with Jonathan Rochelle, Product VP at LinkedIn, as he shares his key principles for product management, including specific examples and lessons he's learned over his career in product management. Jonathan covers important topics like: How to balance customer needs with innovation; key principles for a healthy product; understanding the reasons you may need to make a hard pivot or change in your strategy; measure your results and continually refine your efforts; and more, all toward the goal of making you a stronger product manager.",Course,2023-03-17 10:29 UTC,N/A,false,N/A,
