Date,Link,OptionText
2025-05-13 09:31:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:7327965723606020096,🤖 AI in action
2025-02-27 13:28:00,https://www.linkedin.com/feed/update/urn:li:ugcPost:7300868060352049154,Yes both
2025-01-18 21:17:52,https://www.linkedin.com/feed/update/urn:li:ugcPost:7286395766837796865,"📥 Inbox: 16,721"
2024-02-09 19:22:27,https://www.linkedin.com/feed/update/urn:li:ugcPost:7161779594944081923,No
2024-02-07 10:04:32,https://www.linkedin.com/feed/update/urn:li:ugcPost:7158719853699162114,Headhunted
2024-01-19 17:14:24,https://www.linkedin.com/feed/update/urn:li:ugcPost:7154152497782095872,Chief Product Growth Officer
2023-10-27 18:30:30,https://www.linkedin.com/feed/update/urn:li:ugcPost:7123712083719860225,no way
2023-10-12 14:58:59,https://www.linkedin.com/feed/update/urn:li:ugcPost:7118235297242329088,Harmful
2023-10-09 08:19:01,https://www.linkedin.com/feed/update/urn:li:ugcPost:7117060604233707520,LinkedIn
2023-08-31 21:09:40,https://www.linkedin.com/feed/update/urn:li:ugcPost:7103103621399027712,Something else :)
2023-08-18 16:12:30,https://www.linkedin.com/feed/update/urn:li:ugcPost:7098311533469782017,She is the Product
2023-08-06 16:11:21,https://www.linkedin.com/feed/update/urn:li:ugcPost:7093982897732300800,Fine if quality increases
2023-06-26 12:25:08,https://www.linkedin.com/feed/update/urn:li:ugcPost:7079031863738036224,Berlin 🇩🇪
2023-06-26 08:56:48,https://www.linkedin.com/feed/update/urn:li:ugcPost:7079015924103573504,P&L responsibility for PMs
2023-06-09 07:25:51,https://www.linkedin.com/feed/update/urn:li:ugcPost:7072584400915312640,AR Shopping Experience
2023-06-07 14:56:59,https://www.linkedin.com/feed/update/urn:li:groupPost:147489-7072221345119391745,trek
2023-06-06 15:17:54,https://www.linkedin.com/feed/update/urn:li:ugcPost:7071839719214501888,0-25%
2023-03-22 11:18:26,https://www.linkedin.com/feed/update/urn:li:ugcPost:7044237860274589696,"5 Day/week,Hybrid,100% Salary"
2023-02-23 08:27:12,https://www.linkedin.com/feed/update/urn:li:ugcPost:7034349003190272001,"No, I need my 5 days"
2023-02-20 22:02:20,https://www.linkedin.com/feed/update/urn:li:ugcPost:7033553457630388225,No ❌
2023-01-16 21:44:39,https://www.linkedin.com/feed/update/urn:li:ugcPost:7020861982069116928,50
2022-11-01 13:13:19,https://www.linkedin.com/feed/update/urn:li:ugcPost:6993177273616977921,"No, I’m still doing my job"
2022-10-09 09:56:34,https://www.linkedin.com/feed/update/urn:li:ugcPost:6984780930364104704,Germany
2022-07-20 08:27:25,https://www.linkedin.com/feed/update/urn:li:ugcPost:6955070252065898496,Wild swimming in a lake
2022-06-22 07:56:50,https://www.linkedin.com/feed/update/urn:li:groupPost:48694-6944301123784605696,I have few complaints
2022-05-06 06:06:23,https://www.linkedin.com/feed/update/urn:li:ugcPost:6928056815645577216,$500 Trillion
2022-05-04 13:15:32,https://www.linkedin.com/feed/update/urn:li:ugcPost:6927574100508852225,Salary
2022-01-25 06:57:36,https://www.linkedin.com/feed/update/urn:li:ugcPost:6891466388519931904,0
2022-01-22 12:10:48,https://www.linkedin.com/feed/update/urn:li:ugcPost:6890604536248070144,25-30k
2022-01-21 23:51:03,https://www.linkedin.com/feed/update/urn:li:ugcPost:6890210186749997057,0 seconds
2022-01-14 09:06:01,https://www.linkedin.com/feed/update/urn:li:ugcPost:6887623739001970688,Bangalore
2021-12-21 08:38:48,https://www.linkedin.com/feed/update/urn:li:ugcPost:6878180633571663872,Hyderabad
2021-12-09 10:34:43,https://www.linkedin.com/feed/update/urn:li:ugcPost:6874643101223292928,🚀 791 million orders
2021-12-05 13:50:08,https://www.linkedin.com/feed/update/urn:li:ugcPost:6872207219740569600,Ben and Jerry’s pint
2021-11-21 10:29:47,https://www.linkedin.com/feed/update/urn:li:ugcPost:6868044840295297024,A) USA
2021-11-11 21:25:34,https://www.linkedin.com/feed/update/urn:li:ugcPost:6864608416132845568,B) Buy Real Estate
2021-11-07 21:28:33,https://www.linkedin.com/feed/update/urn:li:ugcPost:6863211314538532864,No to extra working hours
2021-11-07 09:19:28,https://www.linkedin.com/feed/update/urn:li:ugcPost:6862933506637606912,Microsoft
2021-10-20 14:30:54,https://www.linkedin.com/feed/update/urn:li:ugcPost:6854541438475087872,🚩 Lack of salary transparency
2021-09-22 10:09:16,https://www.linkedin.com/feed/update/urn:li:ugcPost:6846358275575967744,No - Accepted the first offer
2021-08-19 20:33:07,https://www.linkedin.com/feed/update/urn:li:ugcPost:6834127631101906944,84
2021-06-07 08:32:25,https://www.linkedin.com/feed/update/urn:li:groupPost:8607959-6807343636322254848,No
2021-04-11 18:39:11,https://www.linkedin.com/feed/update/urn:li:ugcPost:6786975816237633536,🤢
